,m1p,m1pdf
1,104.472273456912,0.0753122190425132
2,102.177989732461,0.0708823418042098
3,102.733875392782,0.0765297890991508
4,101.231217319501,0.0717642251262445
5,97.0397374987882,0.0796553164520928
6,99.1721680471457,0.0933279977550023
7,98.0482217897625,0.0996452617609617
8,97.6971584427,0.0969577134394627
9,97.2383864630192,0.0768823756186528
10,99.3840338347772,0.107266053357193
11,99.3445775838144,0.0983604093953837
12,97.9407097536695,0.0178114262560852
13,91.3760379849282,0.0225616854577752
14,82.9210533894904,0.0637719076753447
15,84.0691772338554,0.0702027854119863
16,85.3882368196554,0.0648702752187476
17,86.1367421455179,0.0181123963671504
18,94.5048792775544,0.0163691779410387
19,101.083734597051,0.127446909232951
20,101.055051591959,0.103552541581766
21,102.448039202784,0.125825182462272
22,102.108680838385,0.0638972126013128
23,105.803146390622,0.105561523179675
24,104.993555620911,0.0985266315452326
25,106.027653106081,0.105559808805777
26,107.783294798413,0.109382758942442
27,106.733898716472,0.0959010199374926
28,108.863305928011,0.115893999053303
29,109.162248184139,0.0974120922954421
30,108.352026953305,0.10413070569066
31,110.255723276671,0.0962313661468355
32,112.951486575572,0.112629089020234
33,112.962014936399,0.109615531018787
34,114.703998216013,0.0724798253346324
35,118.480622234641,0.0523261012436351
36,124.064874517457,0.104030519338952
37,123.844328870007,0.0941472361104902
38,126.798740206013,0.0121781297629711
39,120.514736621119,0.0264131150302479
40,115.108915912911,0.0997750147046295
41,115.788860959731,0.0896338105907979
42,119.493315023598,0.0612562896488939
43,119.052814117377,0.0760899000885925
44,119.297988068601,0.0389316806814683
45,125.686264599334,0.0589164778291892
46,131.694329193769,0.0875158309482487
47,131.14486699885,0.0407803636635249
48,127.530921696303,0.103021399338101
49,129.924944996306,0.0969878725337092
50,133.144803844328,0.101236866602921
51,136.320397997226,0.0541964439643782
52,141.383871578389,0.0990512496874254
53,142.288451641438,0.0831915671950854
54,146.182285891123,0.00181116166117283
55,136.587480779925,3.9871193749146e-05
56,123.276496423985,0.0783101313160092
57,121.22429300018,0.0643536910871811
58,117.26036527155,0.0589208880788179
59,111.445844255834,0.0371990312073842
