,x1,x2,x3,y
164,116.79388888888889,113.15500000000003,117.62250000000002,119.77681818181819
165,119.77681818181819,116.79388888888889,113.15500000000003,119.80523809523807
166,119.80523809523807,119.77681818181819,116.79388888888889,122.15470588235294
167,122.15470588235294,119.80523809523807,119.77681818181819,120.90181818181817
168,120.90181818181817,122.15470588235294,119.80523809523807,119.71600000000001
169,119.71600000000001,120.90181818181817,122.15470588235294,113.40454545454548
170,113.40454545454548,119.71600000000001,120.90181818181817,107.47421052631579
171,107.47421052631579,113.40454545454548,119.71600000000001,105.97349999999999
172,105.97349999999999,107.47421052631579,113.40454545454548,104.97888888888886
173,104.97888888888886,105.97349999999999,107.47421052631579,102.66399999999999
174,102.66399999999999,104.97888888888886,105.97349999999999,105.16055555555556
175,105.16055555555556,102.66399999999999,104.97888888888886,109.27263157894735
176,109.27263157894735,105.16055555555556,102.66399999999999,106.70681818181819
177,106.70681818181819,109.27263157894735,105.16055555555556,105.47105263157896
178,105.47105263157896,106.70681818181819,109.27263157894735,108.17684210526316
179,108.17684210526316,105.47105263157896,106.70681818181819,106.22999999999998
180,106.22999999999998,108.17684210526316,105.47105263157896,107.9863157894737
181,107.9863157894737,106.22999999999998,108.17684210526316,108.0730434782609
182,108.0730434782609,107.9863157894737,106.22999999999998,106.80210526315788
183,106.80210526315788,108.0730434782609,107.9863157894737,108.36476190476192
184,108.36476190476192,106.80210526315788,108.0730434782609,108.8925
185,108.8925,108.36476190476192,106.80210526315788,112.17350000000002
186,112.17350000000002,108.8925,108.36476190476192,116.97555555555557
187,116.97555555555557,112.17350000000002,108.8925,116.04888888888887
188,116.04888888888887,116.97555555555557,112.17350000000002,121.12428571428572
189,121.12428571428572,116.04888888888887,116.97555555555557,123.80789473684207
190,123.80789473684207,121.12428571428572,116.04888888888887,121.97649999999996
191,121.97649999999996,123.80789473684207,121.12428571428572,122.15333333333331
192,122.15333333333331,121.97649999999996,123.80789473684207,124.68900000000001
193,124.68900000000001,122.15333333333331,121.97649999999996,121.60739130434781
194,121.60739130434781,124.68900000000001,122.15333333333331,118.776875
195,118.776875,121.60739130434781,124.68900000000001,121.28136363636364
